.\datafile\bigscale\baseline+11\14	299	37	222.355	37.375	14.075	0.961938	0.963381	0.982121	0.96627
.\datafile\bigscale\baseline+11\15	299	37	222.168	37.375	13.803	0.960425	0.967055	0.979089	0.967262
.\datafile\bigscale\baseline+12\1	329	41	241.7	41.125	15.256	0.960295	0.961032	0.974859	0.963824
.\datafile\bigscale\baseline+12\2	329	41	241.588	41.125	15.296	0.963108	0.96813	0.974881	0.967734
.\datafile\bigscale\baseline+12\3	329	41	244.744	41.125	15.448	0.959355	0.962951	0.97302	0.963892
.\datafile\bigscale\baseline+12\4	329	41	244.765	41.125	15.404	0.957425	0.95951	0.973774	0.96198
.\datafile\bigscale\baseline+12\5	329	41	244.005	41.125	15.509	0.964368	0.96083	0.975684	0.964245
.\datafile\bigscale\baseline+12\6	329	41	242.039	41.125	15.299	0.961471	0.958215	0.977583	0.963615
.\datafile\bigscale\baseline+12\7	329	41	240.564	41.125	15.228	0.958293	0.966088	0.978468	0.965693
.\datafile\bigscale\baseline+12\8	329	41	251.369	41.125	15.35	0.958647	0.96172	0.974531	0.963539
.\datafile\bigscale\baseline+12\9	329	41	245.695	41.125	15.485	0.963119	0.96156	0.972929	0.963979
.\datafile\bigscale\baseline+12\10	329	41	246.244	41.125	15.491	0.960292	0.962496	0.968632	0.963055
.\datafile\bigscale\baseline+12\11	329	41	242.66	41.125	15.18	0.963237	0.96113	0.978457	0.965328
.\datafile\bigscale\baseline+12\12	329	41	242.947	41.125	15.261	0.960658	0.96018	0.979326	0.964624
.\datafile\bigscale\baseline+12\13	329	41	243.222	41.125	15.389	0.955525	0.963216	0.974487	0.962785
.\datafile\bigscale\baseline+12\14	329	41	245.04	41.125	15.473	0.962985	0.960189	0.977728	0.964848
.\datafile\bigscale\baseline+12\15	329	41	241.802	41.125	15.274	0.962512	0.963867	0.978138	0.966529
.\datafile\bigscale\baseline+13\1	349	44	256.969	43.625	16.197	0.958858	0.962377	0.97346	0.962976
.\datafile\bigscale\baseline+13\2	349	44	256.234	43.625	16.229	0.955919	0.959788	0.979262	0.963001
.\datafile\bigscale\baseline+13\3	349	44	258.493	43.625	16.349	0.961472	0.959889	0.975023	0.963554
.\datafile\bigscale\baseline+13\4	349	44	254.896	43.625	16.231	0.954217	0.967413	0.977327	0.964729
.\datafile\bigscale\baseline+13\5	349	44	258.168	43.625	16.153	0.95685	0.958777	0.977395	0.96202
.\datafile\bigscale\baseline+13\6	349	44	257.611	43.625	16.302	0.958162	0.964244	0.975011	0.964257
.\datafile\bigscale\baseline+13\7	349	44	259.892	43.625	16.237	0.956451	0.959532	0.976747	0.961508
.\datafile\bigscale\baseline+13\8	349	44	257.216	43.625	16.299	0.963933	0.963287	0.976023	0.966322
.\datafile\bigscale\baseline+13\9	349	44	260.611	43.625	16.459	0.956493	0.966333	0.980061	0.965694
.\datafile\bigscale\baseline+13\10	349	44	261.075	43.625	16.354	0.963048	0.962479	0.970547	0.963889
.\datafile\bigscale\baseline+13\11	349	44	260.044	43.625	16.488	0.958304	0.965926	0.969018	0.963006
.\datafile\bigscale\baseline+13\12	349	44	257.1	43.625	16.12	0.959521	0.962017	0.975527	0.963211
.\datafile\bigscale\baseline+13\13	349	44	257.118	43.625	16.323	0.959123	0.959293	0.974375	0.962311
.\datafile\bigscale\baseline+13\14	349	44	259.431	43.625	16.549	0.963161	0.960585	0.97545	0.964198
.\datafile\bigscale\baseline+13\15	349	44	259.538	43.625	16.222	0.959958	0.958584	0.973607	0.962118
.\datafile\bigscale\baseline+14\1	379	47	280.07	47.375	17.662	0.959884	0.96214	0.975267	0.963803
.\datafile\bigscale\baseline+14\2	379	47	282.114	47.375	17.758	0.956756	0.964945	0.973727	0.963544
.\datafile\bigscale\baseline+14\3	379	47	281.331	47.375	17.72	0.960078	0.959825	0.974831	0.962586
.\datafile\bigscale\baseline+14\4	379	47	279.072	47.375	17.658	0.960003	0.962417	0.97249	0.963741
.\datafile\bigscale\baseline+14\5	379	47	282.068	47.375	17.754	0.95992	0.961958	0.969802	0.962127
.\datafile\bigscale\baseline+14\6	379	47	283.028	47.375	17.686	0.961774	0.962341	0.97319	0.964168
.\datafile\bigscale\baseline+14\7	379	47	279.646	47.375	17.511	0.962672	0.963598	0.976453	0.965185
.\datafile\bigscale\baseline+14\8	379	47	279.61	47.375	17.649	0.956053	0.963121	0.97492	0.963147
.\datafile\bigscale\baseline+14\9	379	47	278.186	47.375	17.586	0.955588	0.967608	0.974998	0.964799
.\datafile\bigscale\baseline+14\10	379	47	280.553	47.375	17.736	0.960942	0.961742	0.977437	0.964534
.\datafile\bigscale\baseline+14\11	379	47	287.941	47.375	17.986	0.962292	0.967342	0.973746	0.96669
.\datafile\bigscale\baseline+14\12	379	47	281.881	47.375	17.768	0.957063	0.962847	0.974138	0.96281
.\datafile\bigscale\baseline+14\13	379	47	280.422	47.375	17.708	0.953699	0.963869	0.975991	0.962813
.\datafile\bigscale\baseline+14\14	379	47	281.178	47.375	17.744	0.961512	0.959168	0.97703	0.963988
.\datafile\bigscale\baseline+14\15	379	47	278.414	47.375	17.664	0.957895	0.970521	0.976632	0.967117
.\datafile\bigscale\baseline+15\1	399	50	291.017	49.875	18.556	0.959695	0.962557	0.976536	0.964179
.\datafile\bigscale\baseline+15\2	399	50	292.436	49.875	18.589	0.958107	0.963772	0.976155	0.964189
.\datafile\bigscale\baseline+15\3	399	50	293.843	49.875	18.55	0.957721	0.959915	0.978098	0.962937
.\datafile\bigscale\baseline+15\4	399	50	295.331	49.875	18.686	0.954605	0.957983	0.975612	0.960282
.\datafile\bigscale\baseline+15\5	399	50	291.434	49.875	18.501	0.958643	0.964809	0.97411	0.964399
.\datafile\bigscale\baseline+15\6	399	50	294.283	49.875	18.733	0.958818	0.961024	0.976846	0.963275
.\datafile\bigscale\baseline+15\7	399	50	293.04	49.875	18.527	0.957321	0.966331	0.977319	0.965475
.\datafile\bigscale\baseline+15\8	399	50	294.502	49.875	18.673	0.962984	0.96182	0.97884	0.965822
.\datafile\bigscale\baseline+15\9	399	50	293.017	49.875	18.653	0.962226	0.964352	0.976924	0.966121
.\datafile\bigscale\baseline+15\10	399	50	295.633	49.875	18.777	0.962565	0.959573	0.972116	0.963131
.\datafile\bigscale\baseline+15\11	399	50	294.632	49.875	18.709	0.957706	0.962267	0.971533	0.962333
.\datafile\bigscale\baseline+15\12	399	50	293.439	49.875	18.645	0.958622	0.964096	0.973011	0.964171
.\datafile\bigscale\baseline+15\13	399	50	294.574	49.875	18.67	0.964575	0.961034	0.973271	0.964381
.\datafile\bigscale\baseline+15\14	399	50	293.199	49.875	18.678	0.963683	0.961528	0.970812	0.963623
.\datafile\bigscale\baseline+15\15	399	50	295.319	49.875	18.708	0.957805	0.964817	0.979388	0.965709
